PESSOA;IDADE;RENDIMENTO_ANUAL;SITUACAO_PROPRIEDADE;ANOS_TRABALHADOS;EMPRESTIMO;MOTIVO_EMPRESTIMO;PONTUACAO;VALOR_EMPRESTIMO;JUROS;POSSIB_INADIMPLENCIA;EMPRESTIMO_PERC_RENDA_ANUAL;SOLICITACAO;INADIMPLENTE;ANOS_PRIMEIRO_CREDITO
r2zRTMkC-8Tq7;30;50000;Hipotecada;14.0;72fr2wCD-HUEr;Pagamento de débitos;A;1875;8.0;0;0.04;oEbc4JGm-aElH;0;9
81S7xySz-HsQY;47;168000;Hipotecada;13.0;uYot9IpR-k8t8;Educativo;A;8775;8.49;0;0.05;v7sD14be-H2xC;0;12
zoN4iJtm-hXPm;27;146000;Hipotecada;5.0;agOFgpmv-wzM3;Médico;A;2500;8.49;0;0.02;lK21aS2J-YoaY;0;5
iqxppEv8-GE4a;24;39996;Hipotecada;4.0;FoarKzwh-roRw;Educativo;C;5000;14.82;0;0.13;DkWEsf6m-04Yk;1;3
JErNX8Ig-DWQK;22;90000;Alugada;7.0;EBC4fYHR-YYYt;Empreendimento;A;12000;5.79;0;0.13;EYIbBkQM-3iOn;0;2
y1EdgoZS-ecd0;23;91000;Hipotecada;5.0;dxjJDqiU-JwUn;Empreendimento;D;10000;16.32;0;0.11;sInr6Stt-LkN8;1;3
wXiUBziv-iEnX;23;90096;Hipotecada;0.0;3LQRKPrY-enlh;Educativo;C;10150;11.97;0;0.11;Q89FNQId-Bzsg;0;3
0mg5QCvx-Xuza;21;27996;Hipotecada;5.0;Q5ax8QZv-4qmA;Educativo;A;10000;9.63;0;0.36;GmeWoilv-AyW5;0;4
pyy8Hy9A-sS1b;35;70360;Alugada;8.0;glumkzb4-tFxg;Educativo;A;10000;6.62;0;0.14;QCbJrQam-owI2;0;5
93KZ7pAN-3dld;21;59000;Alugada;1.0;wpE8XGop-9LOc;Educativo;A;5500;5.42;0;0.09;HgFe0a5S-vfed;0;2
uEOsSZH4-CIm7;24;40000;Alugada;8.0;LnxfHwJd-tdvi;Médico;C;4500;12.84;0;0.11;fgZCqYMu-fw6D;0;3
vyUYLMeB-StRn;35;21340;Alugada;0.0;UxMW3iSC-5jBS;Pagamento de débitos;B;8000;11.14;1;0.37;IfP2owa4-9wi0;0;7
TJvond5k-OZsJ;22;96000;Hipotecada;3.0;Sq9jFOjZ-nd4A;Educativo;C;11400;13.04;0;0.12;LOrdD3hM-coOU;1;2
cxm9UAPb-vBdb;22;81000;Própria;2.0;o32ssHmw-scQZ;Educativo;D;10000;15.31;0;0.12;pcoXUa2c-ouuX;0;3
BYmg43Fi-Mvaj;21;40000;Alugada;3.0;i536G5cd-egh3;Educativo;D;7000;14.46;0;0.17;M2sgMabi-q39B;0;3
7ZmahQle-0zzZ;24;72000;Alugada;5.0;notWJFFO-Lb3r;Melhora do lar;B;8000;10.0;0;0.11;XMEYtzii-GMsL;0;2
Q8YyEomw-wqUf;31;95000;Hipotecada;1.0;P3bkWQYA-ePum;Pagamento de débitos;B;25000;10.08;0;0.26;DJ6T4YiD-Uv65;0;6
LmwskARR-HyA3;21;41900;Alugada;2.0;0YpSbTgj-CZKT;Empreendimento;C;16000;12.84;1;0.38;j3jnnG3T-iF3N;1;2
c1fAx8Uh-fk6h;24;60000;Hipotecada;8.0;sx6PRAzY-Tznx;Empreendimento;A;2800;9.32;0;0.05;EPRoZdfe-jiw5;0;4
xpxcSWRB-FrAX;33;25200;Alugada;3.0;b9bBNfOj-LJxL;Médico;E;1600;16.69;1;0.06;ouTxkFeA-7vLK;0;6
FAtQtTri-eraY;27;16800;Alugada;3.0;BH8WdzBF-25wh;Pagamento de débitos;B;6500;11.99;1;0.39;gze4W38H-fH69;0;8
EKLnOGSs-hIWR;28;39000;Alugada;6.0;oNzURt6u-FEpT;Médico;D;10000;14.96;1;0.26;AD4iUJjM-eaSJ;0;6
rab9Ff8j-XYqI;23;60000;Alugada;0.0;njPidLt8-wjG5;Empreendimento;A;8400;7.49;0;0.14;e4sGSB0W-WsLj;0;3
Q7uCKXLv-KIzS;35;20000;Alugada;0.0;1OJN1gLu-NODk;Educativo;D;8500;15.05;1;0.42;Q7q9ycyb-xWEE;1;10
WwXrx0nj-UG9n;33;56312;Alugada;2.0;U8fDpRKQ-1ejj;Melhora do lar;B;3000;11.71;0;0.05;Jj0uWkj8-Esq5;0;9
zAGYhdqJ-pD7D;30;43000;Alugada;1.0;4cXZj28b-TIKj;Médico;A;3200;8.0;0;0.07;4pfUPfsE-8Ltp;0;5
oFC1XDv6-abaY;36;46000;Hipotecada;3.0;6Kdj1wpX-Ov7J;Empreendimento;A;8000;5.42;0;0.17;eyITxeQ1-eBt5;0;15
Mwupb94r-N156;35;48000;Hipotecada;8.0;oMXcwG0y-GxuP;Médico;C;2000;11.97;0;0.04;TdMj1cEO-9eHf;0;10
NZH1XocS-SsSQ;23;75000;Hipotecada;7.0;aSx7gsB7-55uF;Empreendimento;B;15000;10.38;0;0.2;v4fR3SBR-gQAU;0;3
DYDPEUcQ-PhL3;26;25000;Hipotecada;10.0;wnKi7Ak3-0kBG;Médico;A;7000;6.99;0;0.28;KQ3snuO3-IdWs;0;2
GvDhikwP-hbP2;30;148000;Alugada;8.0;AR6gBQSg-QGCE;Empreendimento;D;10000;13.55;0;0.07;6oY5oako-UAve;0;9
nOCHCG3B-oirj;37;6000;Própria;3.0;I9iO5CpP-BLfZ;Empreendimento;A;1300;6.03;1;0.22;bAAi9tQ0-jCMx;0;11
XGrCoDSO-o1xh;22;41000;Alugada;2.0;Xf5yXYgw-c8Dj;Pagamento de débitos;D;3600;16.77;1;0.09;wnkIY26E-YjPD;1;3
YkqeZw2c-ZWXg;26;60000;Hipotecada;10.0;4oX9UjXc-KXTr;Médico;A;12500;6.92;0;0.21;54qHzlW2-9Hcy;0;3
jDvErxLD-zcXr;32;35000;Hipotecada;2.0;TD26zpcY-wnpf;Pessoal;C;6075;13.49;0;0.17;oG1c9uM9-Ydlo;0;9
F2MQHMlC-v52y;24;37000;Hipotecada;8.0;OBMhGBJX-UvUf;Empreendimento;B;10000;10.99;0;0.27;d37UI3QX-XBO7;0;4
ji3fFcUX-uC4L;23;24000;Própria;0.0;mwNA5RSD-MeZN;Educativo;A;7000;7.14;0;0.29;D8n27kWQ-M1uS;0;3
PGY9PM7y-SqoL;26;45243;Alugada;3.0;bm0jYjYm-jywv;Empreendimento;B;4800;9.25;0;0.11;Dklqe120-xuMl;0;2
2oP16JhG-F8XW;22;66000;Própria;6.0;63e82hHt-teRu;Educativo;A;5000;7.9;0;0.08;FQdHlns2-0FWk;0;4
J9edd2ce-Db1U;24;36000;Alugada;2.0;rbNzRQ1l-1HIu;Pagamento de débitos;D;5000;14.59;1;0.14;qffIq5UR-S2so;0;2
iOmP40pa-CNJ4;29;58000;Outros;0.0;yud3bu3v-Ltn0;Melhora do lar;B;14000;11.83;0;0.24;d8HbJlNy-DsTA;0;8
Ng2UrYPJ-wR4Y;23;28000;Alugada;5.0;r0mQH7vv-PX8N;Pessoal;B;6000;9.63;0;0.21;QDEqf3zL-ArhU;0;4
n5wjd1pM-l0RX;35;53500;Hipotecada;1.0;RLqQTAzP-zpFY;Empreendimento;C;20000;12.53;0;0.37;7fkEuSxa-4cQD;1;7
lkmbC2Qr-1Nqb;31;24000;Alugada;3.0;JqJmAI7a-Zo6Q;Educativo;A;6000;8.49;0;0.25;3egeG21L-fj0U;0;5
AN0Tv8Sl-Jdw9;24;9600;Alugada;3.0;K35HQxvr-EgfQ;Educativo;C;1300;12.73;1;0.14;050HN82m-mgF4;0;2
wW7M1ehu-4Pcf;23;29000;Alugada;0.0;OdCUgCqo-1FdY;Educativo;E;10000;17.93;1;0.34;AAIm3i82-U7GE;1;3
u3aAcuGQ-WenL;27;36000;Alugada;2.0;3vzZKm36-aHv6;Médico;B;2000;11.99;0;0.06;UpHIupDO-Z3Ra;0;8
i8ZaxfCH-ZvnB;23;50000;Alugada;4.0;fTl0ZqiO-O4KU;Empreendimento;B;18225;10.74;1;0.36;up1g0oxX-dnHW;0;3
g1GDvUjj-IoJj;23;45000;Alugada;1.0;2hnMHX0e-caej;Pagamento de débitos;C;2000;13.49;0;0.04;SkfqfEzL-lKFD;0;2
GN6ytQnE-DzMK;24;117996;Hipotecada;6.0;WbeWEny4-1t34;Empreendimento;E;18000;17.04;0;0.15;mMtKwh3x-cEpY;1;3
pOiseZcH-9Fk0;21;45192;Hipotecada;0.0;G0hUayxs-FJjj;Pessoal;B;11700;10.74;0;0.26;3tcoPzMf-v8ma;0;2
L0lBrO45-rdMJ;23;91000;Hipotecada;0.0;7e6YhDyi-lW2T;Educativo;B;1000;11.71;0;0.01;YauSEsui-pqb2;0;3
1ocpbjSJ-z6di;31;135000;Hipotecada;12.0;fO7Hnf3c-rglN;Educativo;C;15000;13.85;0;0.11;j1isnOuI-vt4H;1;9
YtYvr4Cj-bxpq;30;232050;Hipotecada;14.0;0lmyftrm-4bcR;Médico;E;25000;17.93;1;0.09;SDXBWm4G-EPIP;1;9
HDKBgTY7-QfNp;23;38004;Alugada;5.0;KJ9JOg7F-smW0;Educativo;A;5000;6.91;0;0.13;xLT3GnkU-p19P;0;4
OUEtPkTc-vXcy;23;30000;Alugada;3.0;NAKFoNIk-NYBx;Pessoal;A;3600;5.99;0;0.12;EUBokKrE-dXz0;0;2
IiyY6qL7-Tkid;24;44000;Alugada;2.0;729ErEcc-2W7w;Educativo;C;5000;15.23;1;0.11;fgmEL5HX-cC4e;0;2
BQh2UH1M-eKJD;34;78000;Alugada;9.0;mlml1vB6-HnK2;Pagamento de débitos;E;15000;16.4;1;0.19;hQ9qTMoa-lxwp;0;5
pe60qrcX-Ytpl;26;56000;Alugada;4.0;j8z0964g-T6vb;Pagamento de débitos;C;25000;12.87;1;0.45;4AsjRAXx-0NDk;0;2
5AnyFimd-amEm;29;30000;Alugada;3.0;NGUD7g9a-5aqy;Médico;B;5000;11.49;0;0.17;W7X2IPZU-neOY;0;9
fouL80A0-GSbF;28;39000;Alugada;6.0;ozHrj2lo-1sBq;Médico;D;8000;14.91;1;0.21;MbRLoU9m-0E32;1;7
5UAjPi9w-19sy;31;39420;Alugada;0.0;zfm7vp4G-GXDj;Médico;C;2500;15.27;0;0.06;wdYxBxOo-rstP;1;8
Q6Ky6UtP-7hjb;30;67000;Hipotecada;6.0;arAp8q1t-Ki9W;Melhora do lar;A;10000;6.99;0;0.15;PIbtCvUw-qf3K;0;6
IGJnHlh5-RW15;58;68000;Hipotecada;1.0;cCWKWkrU-4oQC;Pessoal;B;8000;10.99;0;0.12;eYw3xdOj-cPAp;0;29
fuUiDvEh-F16S;23;40000;Alugada;0.0;EJmOuEUR-J7by;Empreendimento;A;15000;8.94;1;0.38;D9QpeJEQ-Irkg;0;4
Yu00cQ2k-H4hd;21;21700;Alugada;2.0;TrBcx2Ww-zgXl;Melhora do lar;D;5500;14.91;1;0.25;xDklu0NA-P5pb;0;2
ZMj3GDRA-d7ZD;34;54000;Hipotecada;5.0;omOXcYql-IW7h;Empreendimento;A;10000;7.29;0;0.19;oh3NlbzZ-4KTQ;0;7
yfSpCdRS-4CPq;29;60000;Alugada;0.0;27dlUgzG-kNy1;Melhora do lar;A;4000;7.88;0;0.07;BP5OcZMW-FXEL;0;6
qDeyTYs1-baNz;25;50000;Alugada;0.0;OGSU5oJz-B4De;Melhora do lar;B;6400;9.91;0;0.13;HtcIjFIo-tSbK;0;4
uRNis7rO-QvQS;29;60000;Hipotecada;7.0;tBPcdDSD-M18e;Empreendimento;A;5000;7.66;0;0.08;UWJzkh6T-wIqh;0;10
J27trJci-Bod4;25;80000;Hipotecada;9.0;gpyEFrZN-NAP7;Empreendimento;E;4000;19.03;0;0.05;HdB4w9OB-tTNk;1;3
3nRhlR8i-oOAS;52;25000;Alugada;23.0;Hxa2IflD-IM3I;Médico;D;5000;12.61;1;0.2;7UlWWDkw-NBig;1;22
wIpK7Gev-GmYY;27;97000;Hipotecada;11.0;ISoB48er-MIWu;Pessoal;B;3600;9.25;0;0.04;TSHZjj7P-LRvz;0;7
yYFHGWKS-2el6;22;45000;Alugada;3.0;m7NH5fyU-ciQa;Médico;A;5800;7.88;0;0.13;dwuGjAyP-cd2C;0;3
H3iPrkPx-YLN1;22;63800;Hipotecada;7.0;SFDhlddW-OrGb;Pagamento de débitos;B;25000;11.36;0;0.39;jn0fXPsl-PlvQ;0;4
c7oX7oWG-4sj1;54;154000;Hipotecada;1.0;mLhRmSUc-UsTE;Pessoal;B;12000;12.69;0;0.08;xTUl8XZ0-2chf;0;26
wMaPDqtY-cMTB;26;96000;Alugada;2.0;8b67trl0-OmcG;Melhora do lar;A;1750;6.54;0;0.02;uaQNg57i-GpaK;0;2
9FDLodgY-Lpzf;23;60000;Própria;2.0;H9LosMN1-QPaH;Médico;D;18500;15.33;0;0.31;87qA8hsK-BDXZ;0;2
zkt51GgD-xc3p;24;88000;Alugada;0.0;syD8Yswd-QYXa;Melhora do lar;B;14000;9.99;0;0.16;ERE1cQhm-Aej6;0;3
hkbri4rs-RpGC;26;70000;Hipotecada;0.0;RRWiOgZZ-fYSH;Educativo;A;7000;7.88;0;0.1;B7WrW1dD-3rIL;0;4
KQ3KlXJd-Z1e2;32;73000;Hipotecada;7.0;9f45oO89-3PrT;Pessoal;C;4750;13.11;1;0.07;2oy4h5yt-GLzB;1;9
RXHO20XK-84oy;25;27600;Alugada;2.0;Ymf4ftlw-AQtB;Médico;B;7000;9.76;0;0.25;i04ElEjn-YrOf;0;4
KPTJXQoI-j38c;26;110000;Hipotecada;0.0;aP5pfzqg-xor5;Empreendimento;A;15600;6.17;0;0.14;CnOlecuH-MCjx;0;4
tbH6LWOU-T50M;34;84000;Alugada;3.0;tXPHY11i-ixNO;Educativo;A;9000;5.79;0;0.11;Gu5I5LQE-MkND;0;10
dp9O0OvK-Lr6a;36;37008;Alugada;8.0;9HclnAUb-HoAS;Empreendimento;C;6000;14.79;0;0.16;iuWeMFk1-779a;1;14
Hds7B4Mo-233B;24;80000;Alugada;5.0;Zq8xAYco-iZXA;Empreendimento;B;10000;11.14;0;0.13;p0YYjhhN-UeAT;0;4
MePF4N1v-htWc;26;32000;Alugada;1.0;SesvvUwT-KIzR;Empreendimento;C;7500;13.79;0;0.23;a8A6qqrs-i0F9;0;3
4hphkPo9-YqDc;31;46992;Alugada;1.0;5Gl11Sdq-ArRp;Médico;B;11000;11.14;0;0.23;wgunoKp5-k5FR;0;9
oArD4oX7-F4ZW;23;25200;Alugada;7.0;fARXrroz-2fp0;Educativo;B;7200;11.86;1;0.29;M4jwbCR2-S0RQ;0;4
2qL2TpcA-3UO0;26;108000;Hipotecada;4.0;LoQ6fSUb-Oz9B;Pessoal;A;9000;5.79;0;0.08;yyxAqFSr-rcKu;0;2
Joezq1nK-2tgU;28;77544;Hipotecada;2.0;iFX2O6WD-WpWs;Pessoal;E;15000;16.63;0;0.19;pGvzqlN4-IT6G;1;5
NiuaKa9Y-w0Hs;28;61500;Alugada;1.0;1iPuEryI-dSA1;Melhora do lar;B;4000;10.95;0;0.07;bCnFP2Ux-4XLZ;0;8
LLjwntfQ-c44w;25;112000;Alugada;7.0;MX5tKFZx-w71A;Pagamento de débitos;B;5000;10.25;0;0.04;RbbigFod-syks;0;3
guFdcytZ-qpxP;29;33996;Alugada;11.0;RYDNSh6F-uKnJ;Educativo;C;4000;13.47;1;0.12;YUSJvJ6Z-Z1dH;0;7
yBfoLC8z-GQDo;23;48000;Alugada;3.0;oDearF6M-xmwb;Pagamento de débitos;A;8000;8.49;0;0.17;nvBm4Q9J-i1iu;0;2
TenczLdH-GbAY;21;24996;Alugada;2.0;X75IPvzb-zEnl;Educativo;E;5000;16.45;1;0.2;wHtKRCa0-NR75;0;4
DqSErXLN-oOdj;33;15500;Alugada;1.0;CAzxipzI-nRDW;Médico;A;3000;7.51;1;0.19;QvObzTaI-X1ZG;0;5
CGr8LFPX-mxsF;29;48000;Alugada;1.0;QnYsidO9-QwXr;Médico;A;8800;8.49;0;0.18;ifl4LsqP-5tir;0;9
bBQ5Z3rA-gKO8;49;70872;Hipotecada;4.0;GAHXYPMA-LS0k;Pagamento de débitos;D;15000;14.84;1;0.21;NkOhYI4T-FjWf;0;11
XRGm3xFB-jfLh;32;45000;Alugada;3.0;jh3UFgWu-4Zfg;Educativo;C;3000;12.61;0;0.07;xqrCUZOz-3Q5O;1;8
AplH4Lwm-gyYK;25;90000;Hipotecada;7.0;H7WZlXS5-Rjyu;Pagamento de débitos;A;6000;7.14;0;0.07;rZoiEpPc-bciv;0;3
H466DrPK-BqOO;26;60000;Alugada;5.0;2HTeK8qK-KzCz;Empreendimento;C;3000;15.62;0;0.05;82LziRGb-kp5b;0;2
qOcqMw7e-cSEm;24;60000;Alugada;8.0;KZ88A61W-pFpI;Pessoal;D;20000;13.87;1;0.33;uDYkqUoH-hRNe;0;4
CZWcNgWA-kbk4;26;87000;Hipotecada;9.0;MjTNYsmN-6qBc;Pagamento de débitos;C;25000;12.73;0;0.29;FxGG9RvP-Le3z;0;2
mvkJyvGc-yYuw;22;54000;Alugada;4.0;h0oDhLmM-OrEm;Pagamento de débitos;C;9000;15.96;0;0.17;IKk1KTWI-y4IG;1;3
D2p02PXU-CNuP;25;35500;Alugada;5.0;EyDonijD-HEiN;Médico;B;4000;10.99;0;0.11;gwAHt9Jd-Tza6;0;3
dlUWseIw-3E6Q;29;92250;Alugada;2.0;5YG4x7QJ-GMeb;Médico;B;13000;10.99;0;0.14;6Fj8vXlH-elw6;0;9
LTD2XdcS-ZCv4;24;65000;Hipotecada;6.0;ob9Yrlfi-Ocpc;Pessoal;B;11000;11.49;0;0.17;iBDB52Wo-4WAb;0;2
zn8LhRLc-wIDj;38;35000;Alugada;5.0;pYfbz0UP-4SO3;Empreendimento;D;5000;15.37;0;0.14;vpOxBbKR-FeMn;1;14
HNN6Grnl-fknG;24;75000;Hipotecada;9.0;NuXchJo0-2dX5;Melhora do lar;A;11500;5.42;0;0.15;qBFrloUA-XKUB;0;2
Imsa4iFM-SIpX;25;35004;Alugada;3.0;wv9Mo1cy-9veD;Pessoal;A;5000;8.94;0;0.14;Kjspkf6r-syIm;0;2
veRNJgmL-xCSy;24;60000;Própria;9.0;FbzhMvqY-Z4Wj;Melhora do lar;B;15000;11.83;0;0.25;pUFPe05Z-xXr7;0;3
uYsLkgLc-OwH6;41;55000;Alugada;9.0;2Wht0eH9-fbh7;Pagamento de débitos;B;12000;12.53;0;0.22;piKhYvXC-6Nw7;0;15
fxooxxAu-CqDE;34;47818;Alugada;9.0;t08n6DGE-DQFJ;Médico;A;6800;6.92;0;0.14;HCq3BaR3-I6BZ;0;9
QbDjdC0d-K9os;24;70000;Hipotecada;9.0;q8JDBA2h-xJBS;Pagamento de débitos;B;12000;11.36;0;0.17;eYAAbrxl-QUdH;0;4
Rzv4Ko2E-aZE8;27;89904;Alugada;1.0;4cmUaZTm-WHaj;Educativo;B;10000;10.0;0;0.11;cOn7iBRa-gLSa;0;5
w3IPOuJk-kZCD;26;36996;Alugada;8.0;YbHR0abC-5BuX;Pessoal;C;9600;11.97;0;0.26;8flcEvDn-5FMq;1;4
DHFQCaZ6-efIB;22;41000;Hipotecada;6.0;8KwoXehU-8ihO;Melhora do lar;A;7000;7.9;1;0.17;3lC5fUi0-vSJ6;0;2
exEj5bXk-YT8D;24;15000;Alugada;0.0;RlCCEsvx-hwGv;Educativo;C;2100;13.11;0;0.14;mWTOyK83-cCaQ;1;4
GbljOUTf-748w;25;144996;Hipotecada;2.0;eK9NrLmg-zrOZ;Educativo;E;25000;16.35;0;0.17;5vdXvPeT-FtiH;1;2
RKAi5Bpd-A2hG;36;45600;Hipotecada;6.0;xCzzcOkC-USuW;Médico;C;10000;13.49;0;0.22;uADkJvTT-nGkW;0;16
vbwEfJTD-LdID;35;52000;Alugada;2.0;6ABpkht2-SdCN;Médico;B;3000;11.48;0;0.06;CE0NeKdg-IICE;0;7
iHar8HN7-1YkN;21;45000;Alugada;3.0;XqGa4BKn-WWe1;Pessoal;A;7200;9.38;0;0.16;Sfj6mx0T-ixdS;0;4
4r0gkvs0-1A9y;26;85000;Hipotecada;8.0;mj1m2ex4-dikh;Médico;A;15000;7.88;0;0.18;kQnkKSED-jJkb;0;4
